Key,en,zh-TW,zh-CN,ms,pt,ja,es,ar,bn,hi,id,ko,my,th,vi,tl,fr,sw
edit_form.active_member_count,Active Player Count,活躍會員人數,活跃会员人數,Jumlah Ahli Aktif,Contagem de Membros Ativos,活動会員数,Cantidad de Miembros Activos,عدد الأعضاء النشطين,সক্রিয় সদস্য সংখ্যা,सक्रिय सदस्य संख्या,Jumlah Anggota Aktif,활성 회원 수,အသက်ဝင်အဖွဲ့ဝင် အရေအတွက်,จำนวนสมาชิกที่ใช้งาน,Số lượng thành viên hoạt động,Bilang ng Aktibong Miyembro,Nombre de joueurs actifs,Idadi ya Wachezaji Wanaofanya Kazi
edit_form.ad_options,Ad Options,广告选项,广告选项,Pilihan Pengiklanan,Opções de Anúncio,広告オプション,Opciones de anuncio,خيارات الإعلان,বিজ্ঞাপনের বিকল্প,विज्ञापन विकल्प,Opsi Iklan,광고 옵션,ကြော်ငြာရွေးချယ်မှု,ตัวเลือกโฆษณา,Tùy chọn quảng cáo,Mga Option ng Ad,Options publicitaires,Chaguo za Tangazo
edit_form.add_commission_group,Add Rebate Group,新增返水群组,新增返水群组,Menambah Kumpulan Rebat,Adicionar Grupo de Comissão,リベートグループの追加,Añadir grupo de comisiones,إضافة مجموعة استرداد,রিবেট গ্রুপ যোগ করুন,कमीशन समूह जोड़ें,Tambahkan Grup Komisi,리베이트 그룹 추가,ပြန်အမ်းငွေအဖွဲ့ ကိုထည့်ပါ။,เพิ่มกลุ่มการคืนเงิน,Thêm nhóm hoàn tiền,Maglagay ng Grupo ng Rebate,Ajouter un groupe de rabais,Ongeza Kikundi cha Marejesho
edit_form.add_document_tip,File size within 100MB,檔案大小在100MB以內,文件大小在100MB以内,Saiz Fail tidak boleh melebihi 100MB,Tamanho do Arquivo dentro de 100 MB,ファイルサイズは100MB以内,Tamaño del archivo: 100 MB,حجم الملف حتى 100MB,ফাইলের আকার 100MB এর মধ্যে,दस्तावेज़ टिप जोड़ें,Ukuran file dalam 100MB,파일 크기 100MB 이내,ဖိုင်အရွယ်အစား 100MB အတွင်း,ขนาดไฟล์ไม่เกิน 100MB,Kích thước tệp trong vòng 100MB,File size within 100MB,Taille du fichier inférieure à 100 Mo,Ukubwa wa faili ndani ya 100MB
edit_form.add_invitation_bonus,Add Invitation Bonus,邀請禮金新增,邀请礼金新增,Menambah Bonus Pelawaan,Adicionar bônus de convite,招待ボーナス追加,Agregar bono de invitación,إضافة مكافأة دعوة,আমন্ত্রণ বোনাস যোগ করুন,निमंत्रण बोनस जोड़ें,Tambah Bonus Undangan,초대 보너스 추가,ဖိတ်ခေါ်မှုဆု ထည့်ပါ,เพิ่มโบนัสเชิญชวน,Thêm tiền thưởng mời,Magdagdag ng Invitation Bonus,Ajouter un bonus d'invitation,Ongeza Bonasi ya Mwaliko
edit_form.add_payment_logo_tip,*Picture size 200*80 px file size within 10MB,*圖片尺寸200*80 px 檔案大小10MB以內,*图片尺寸200*80 px 档案大小10MB以内,*Saiz Imej 200*80 px Saiz Fail tidak boleh melebihi 10MB,*Tamanho de imagem 200*80 px tamanho de arquivo dentro de 10MB,*画像サイズ200*80 px ファイルサイズ10MB以下,"*Tamaño de la imagen: 200 x 80 px, tamaño del archivo: 10 MB",*حجم الصورة 200*80 بكسل، وحجم الملف لا يتجاوز 10MB,"ছবির আকার 20080 px, ফাইল সাইজ 10MB এর মধ্যে",भुगतान लोगो टिप जोड़ें,Ukuran gambar 20080 px ukuran file dalam 10MB,이미지 크기 200*80 px 파일 크기 10MB 이내,ဓာတ်ပုံအရွယ်အစား 200*80 px၊ ဖိုင်အရွယ်အစား 10MB အတွင်း*,*รูปภาพขนาด 200*80 px ขนาดไฟล์ไม่เกิน 10MB,"*Kích thước ảnh 200*80 px, kích thước tệp trong vòng 10 MB",*Picture size 200*80 px file size within 10MB,"*Image de 200 x 80 px, taille du fichier inférieure à 10 Mo",*Ukubwa wa picha 200*80 pikseli saizi ya faili ndani ya 10MB
edit_form.adjustment_times,Adjustment Times,異動次數,异动次数,Kiraan Penyelarasan,Número de Ajustes,変更回数,Número de Ajustes,أوقات التعديل,পরিবর্তনের সংখ্যা,समायोजन बारंबारता,Jumlah Penyesuaian,조정 횟수,ညှိနှိုင်းချိန်များ,จำนวนการเปลี่ยนแปลง,Số lần điều chỉnh,Bilang ng Pagsasaayos,Temps d'ajustement,Nyakati za Marekebisho
edit_form.after_distribution,After distribution,派發後,派发后,Lepas Agihan,Após a Distribuição,派遣後,Después de la distribución,بعد التوزيع,বিতরণের পর,वितरण के बाद,Setelah distribusi,지급 후,ဖြန့်ဝေပြီးနောက်,หลังจากจำหน่าย,Sau khi phân phối,Pagkatapos ng Pagbabahagi,Après distribution,Baada ya usambazaji
edit_form.agent_commission_ratio_setting,Commission Ratio Setting,佔成比設定,占成比设定,Tetapan Nisbah Komisen,Configuração da proporção de comissão,手数料比率設定,Configuración de proporción de comisión,إعداد نسبة العمولة,কমিশন অনুপাত সেটিং,कमीशन अनुपात सेटिंग,Pengaturan Rasio Komisi,커미션 비율 설정,ကော်မရှင်နှုန်းထားသတ်မှတ်မှု,การตั้งค่าสัดส่วนค่าคอมมิชชั่น,Cài đặt tỷ lệ hoa hồng,Setting ng Commission Ratio,Fixation du ratio de commission,Mpangilio wa Uwiano wa Tume
edit_form.agent_details_entry,Agent Details Entry,代理詳情入口,代理详情路口,Rincian Masukan Agen,Entrada de Detalhes do Agente,代理詳細ページ,Entrada de Detalles del Agente,إدخال تفاصيل الوكيل,এজেন্টের বিবরণ এন্ট্রি,एजेंट विवरण प्रविष्टि,Masuk Rincian Agen,제휴사 상세정보 입장,ကိုယ်စားလှယ် အသေးစိတ် မှတ်တမ်း,หน้ารายละเอียดตัวแทน,Lối vào chi tiết đại lý,Entry ng Detalye ng Ahente,Saisie des détails de l'agent,Maelezo ya Wakala Ingizo
edit_form.agent_identity,Agent Identity,代理身份,代理身份,Identiti Agen,Identidade de agente,代理の身分,Identidad de agente,هوية الوكيل,代理 পরিচয়,एजेंट की पहचान,Identitas Agen,제휴사 신원 정보,ကိုယ်စားလှယ် အသိအမှတ်ပြုအဆင့်,สถานะตัวแทน,Tư cách đại lý,Pagkakilanlan ng Ahente,Identité de l'agent,Utambulisho wa Wakala
edit_form.agent_rebate_promo,Agent Rebate Promo,反佣代理廣宣,返佣代理广宣,Promosi Rebat Agen,Promoção de Rebate para Agentes,リベート代理プロモ,Promoción de Reembolso para Agentes,عرض ترويج استرداد الوكيل,এজেন্ট রিবেট প্রোমো,एजेंट छूट प्रचार,Promo Rebate Agen,제휴사 리베이트 홍보,ကိုယ်စားလှယ် လျှော့စျေး ပရိုမိုးရှင်း,โปรโมชันคืนค่าคอม,Khuyến mãi hoàn hoa hồng,Agent Rebate Promo,Promotion de remise pour agents,Ofa ya Marejesho ya Wakala
edit_form.ai_translation_apply_other_languages,AI translation to all language,AI翻譯套用其他語系,AI翻译套用其他语系,Fɔlifɛn AI jatebɔlanw kɛrɛnkɛrɛnnenw sinsinnin kan kanw wɛrɛw kan.,Tradução de IA aplicada a outros sistemas de idiomas,AI翻訳が他の言語システムに適用されました,Traducción de IA aplicada a otros sistemas de idiomas,تطبيق ترجمة الذكاء الاصطناعي على أنظمة اللغات الأخرى,অন্যান্য ভাষা সিস্টেমে প্রয়োগ করা এআই অনুবাদ,एआई अनुवाद अन्य भाषा प्रणालियों पर लागू किया गया,Terjemahan AI diterapkan ke sistem bahasa lain,AI 번역 (모든 언어),အခြားဘာသာစကားစနစ်များသို့ AI ဘာသာပြန်ခြင်းကို အသုံးချခြင်း။,การแปลด้วย AI ถูกนำไปใช้กับระบบภาษาอื่น,AI translation applied to other language systems,Aplikasyon ng pagsasalin ng AI sa iba pang sistema ng wika,Traduction automatique dans toutes les langues,Tafsiri ya AI kwa lugha zote
edit_form.allow_same_ip,Same IP,同IP重複派發,同IP重复派发,Agihan tidak akan dibuat ke atas IP yang sama,Distribuição repetida do mesmo IP,同一IP重複配布,Distribución repetida de la misma IP,نفس عنوان IP,একই IP,समान आईपी की अनुमति दें,IP yang Sama,동일 IP 중복 지급,တူညီသော IP,การกระจายซ้ำของ IP เดียวกัน,Phân phối lặp đi lặp lại của cùng một IP,Parehas na IP,Même adresse IP,IP sawa
edit_form.apple_pay,Apple Pay,蘋果支付,苹果支付,Apple Pay,Apple Pay,Apple Pay,Apple Pago,Apple Pay,অ্যাপল পে,एप्पल पे,Apple Pay,애플 페이,Apple Pay,แอปเปิ้ลเพย์,Apple Pay,Apple Pay,Apple Pay,Apple Pay
edit_form.apply_to_other_languages,Apply To other Languages Preference,套用到其他語系,套用到其他语系,Dipakai ke Bahasa Keutamaan Lain-lain,Aplicar em Outros Idiomas,他の言語に適用,Aplicar a otros idiomas,تطبيق على,প্রয়োগ করুন,अन्य भाषाओं में लागू करें,Terapkan Ke,다른 언어 설정에 적용,သက်ဆိုင်မှု,นำไปใช้กับภาษาอื่น,Áp dụng cho các ngôn ngữ khác,I-apply sa,Appliquer à d'autres préférences linguistiques,Tumia kwa Mapendeleo ya Lugha Nyingine
edit_form.audit_multiple,Turnover Requirement,稽核倍數,稽核倍数,Pengganda audit,Auditar Múltiplos,オーディット倍数,Auditoría múltiple,مضاعف المراجعة,অডিট গুণক,ऑडिट गुणा,Pengali Audit,베팅 요건 배수,စစ်ဆေးမှုအချိုး,ตรวจสอบหลายรายการ,Kiểm toán nhiều lần,Audit Multiple,Exigence de roulement,Mahitaji ya Mauzo
edit_form.audit_ratio,Audit Ratio,稽核倍率,稽核倍率,Nisbah Audit,Porcentagem de Fiscalização,オーディット倍率,Ratio de auditoría,نسبة المراجعة,অডিট অনুপাত,ऑडिट अनुपात,Rasio Audit,베팅 요건 배수,စာရင်းစစ်အချိုး,อัตราส่วนการตรวจสอบ,Tỷ lệ kiểm toán,Audit Ratio,Ratio d'audit,Uwiano wa Ukaguzi
edit_form.automatic_time,Automatic Dispatch Time,自動派發時間,自动派发时间,Masa Pembayaran secara Auto,Horário de Envio Automático,自動配信時間,Hora de Envío Automático,وقت التوزيع التلقائي,স্বয়ংক্রিয় বিতরণের সময়,स्वचालित समय,Waktu Pengiriman Otomatis,자동 지급 시간,အလိုအလျောက် ချိန်ညှိပေးချိန်,เวลาส่งอัตโนมัติ,Thời gian phát tự động,Automatic Dispatch Time,Heure d'expédition automatique,Muda wa Kutuma Kiotomatiki
edit_form.automatically_receive,Automatically receive,自動領取,自动领取,Mengumpul secara Auto,Receber automaticamente,自動受け取り,Recibir automáticamente,الاستلام تلقائيًا,স্বয়ংক্রিয়ভাবে গ্রহণ করুন,स्वचालित रूप से प्राप्त करें,Terima secara otomatis,자동 수령,အလိုအလျောက် လက်ခံခြင်း,รับโดยอัตโนมัติ,Tự động nhận,Automatically receive,Recevoir automatiquement,Pokea kiotomatiki
edit_form.background,Background,背景,背景,Latar Belakang,Fundo,背景,Fondo,الخلفية,পটভূমি,पृष्ठभूमि,Latar Belakang,배경,နောက်ခံ,พื้นหลัง,Phông nền,Background,Arrière-plan,Mandharinyuma
edit_form.bank_account,Bank Account,銀行帳號,银行账号,Akaun Bank,Conta bancária,銀行口座番号,Cuenta bancaria,رقم الحساب البنكي,ব্যাংক অ্যাকাউন্ট,बैंक खाता,Rekening Bank,은행 계좌번호,ဘဏ်အကောင့်,บัญชีธนาคาร,Tài khoản ngân hàng,Account sa Bangko,Compte bancaire,Akaunti ya Benki
edit_form.bank_transfer,Bank Transfer,銀行轉帳,银行转账,Pindahan Bank,Pemindahan Bank,銀行振込,Transferência Bancária,التحويل المصرفي,ব্যাংক স্থানান্তর,การโอนเงินผ่านธนาคาร,Transfer Bank,은행 송금,ဘဏ်လွှဲပြောင်းမှု,Chuyển khoản ngân hàng,Chuyển khoản ngân hàng,Bank Transfer,Virement bancaire,Uhamisho wa Benki
edit_form.bind_membership_level,Bind Player Level,綁定會員層級,绑定会员层级,Ikatan Pangkat Keahlian,Vincular Nivel de Membro,メンバーレベルのバインド,Vinculación de nivel de membresía,ربط مستوى العضوية,সদস্য স্তর বাইন্ড করুন,सदस्यता स्तर बाँधें,Ikat Level Keanggotaan,회원 등급 연동,အသင်းအဆင့်ချိတ်ဆက်မှု,ผูกระดับสมาชิก,Cấp độ thành viên ràng buộc,I-bind ang Membership Level,Niveau du joueur lié,Kiwango cha Mchezaji cha Kufunga
edit_form.block_dispatch_tag_title,Block tag,阻擋派發標籤,阻挡派发标签,Label Larangan Agihan,Bloquear uma etiqueta de envio,配布タグのブロック,Bloquear etiqueta de envío,وسم الحظر,ব্লক ট্যাগ,ब्लॉक डिस्पैच टैग शीर्षक,Tandai Blokir,지급 차단 태그,ဖြန့်ဝေမှုတားမြစ်သည့်တံဆိပ်,บล็อกแท็กการจัดส่ง,Chặn thẻ gửi,Tag ng Bock,Balise de blocage,Lebo ya kuzuia
edit_form.bonus_type,Bonus Type,獎金類型,奖金类型,Jenis Bonus,Tipo de bônus,ボーナスタイプ,Tipo de bono,نوع المكافأة,বোনাসের ধরন,बोनस प्रकार,Jenis Bonus,보너스 유형,ဆုအမျိုးအစား,ประเภทโบนัส,Loại tiền thưởng,Uri ng Bonus,Type de bonus,Aina ya Bonasi
edit_form.branch_name,Branch Name,分行名稱,分行名称,Nama Cawangan,Nome da Agência,支店名,Nombre de la sucursal,اسم الفرع,শাখার নাম,शाखा का नाम,Nama Cabang,지점명,ခွဲရုံးအမည်,ชื่อสาขา,Tên chi nhánh,Pangalan ng Branch,Nom de la succursale,Jina la Tawi
edit_form.calculated_based_on_magnification,Calculated by Ratio,依比率計算,依比率计算,Dikira mengikut nisbah,Calculado por proporção,比率で計算,Calculado por proporción,محسوب حسب النسبة,অনুপাত অনুযায়ী গণনা,अनुपात के आधार पर गणना,Dihitung berdasarkan rasio,비율로 계산,အချိုးအစားအလိုက်တွက်ချက်သည်,คำนวณตามอัตราส่วน,Tính theo tỷ lệ,Kinakalkula batay sa ratio,Calculé par ratio,Imehesabiwa kwa Uwiano
edit_form.calculation_threshold,Calculation Threshold,計算門檻,计算门槛,Ambang Pengiraan,Limiar de cálculo,計算しきい値,Umbral de cálculo,عتبة الحساب,গণনার সীমা,गणना सीमा,Ambang Batas Perhitungan,계산 임계값,တွက်ချက်မှု ကန့်သတ်ချက်,เกณฑ์การคำนวณ,Ngưỡng tính toán,Hangganan ng Pagkalkula,Seuil de calcul,Kizingiti cha Hesabu
edit_form.calculation_threshold_cpa,Calculation Threshold (Fixed Bonus),計算門檻 (固定獎金),计算门槛 (固定奖金),Ambang Pengiraan (Bonus Tetap),Limiar de Cálculo (Bônus Fixo),計算基準額（固定ボーナス）,Umbral de cálculo (bonificación fija),الحد الأدنى للحساب (مكافأة ثابتة),গণনার সীমা (স্থির বোনাস),गणना सीमा (निश्चित बोनस),Ambang Batas Perhitungan (Bonus Tetap),계산 임계값(고정 보너스),တွက်ချက်မှု ကန့်သတ်ချက် (ပုံသေ ဘောနပ်စ်),เกณฑ์การคำนวณ (โบนัสคงที่),Ngưỡng tính toán (Tiền thưởng cố định),Hangganan ng Pagkalkula (Nakatakdang Bonus),Seuil de calcul (bonus fixe),Kizingiti cha Hesabu (Bonasi Isiyobadilika)
edit_form.calculation_threshold_profit_share,Calculation Threshold (Rebate Ratio),計算門檻 (返水比例),计算门槛 (返水比例),Ambang Pengiraan (Nisbah Rebat),Limite de cálculo (proporção de desconto),計算基準値（リベート率）,Umbral de cálculo (Coeficiente de descuento),عتبة الحساب (نسبة الخصم),গণনার সীমা (রিবেট অনুপাত),गणना सीमा (छूट अनुपात),Ambang Batas Perhitungan (Rasio Rabat),계산 기준치(환급 비율),တွက်ချက်မှု ကန့်သတ်ချက် (ပြန်အမ်းငွေအချိုး),เกณฑ์การคำนวณ (อัตราส่วนส่วนลด),Ngưỡng tính toán (Tỷ lệ hoàn tiền),Hangganan ng Pagkalkula (Ratio ng Rebate),Seuil de calcul (taux de remise),Kizingiti cha Hesabu (Uwiano wa Marejesho)
edit_form.collection_period,Collection period,領取期限,领取期限,Tempoh Pengumpulan,Período de Recolha,受け取り期限,Periodo de cobro,فترة التحصيل,সংগ্রহের সময়সীমা,संग्रह अवधि,Periode Pengumpulan,수령 기한,စုဆောင်းကာလ,ระยะเวลาการเก็บเงิน,Kỳ thu tiền,Period ng Collection,Période de collecte,Kipindi cha ukusanyaji
edit_form.commission_member_account_edit_tip,"Existing members cannot be removed; once a new member is added, the member cannot be removed after clicking the ""Confirm"" button below.",已存在之會員不可移除；新增會員點擊下方「確認」按鈕後將無法再移除會員。,已存在之会员不可移除；新增会员点击下方「确认」按钮后将无法再移除会员。,"Ahli sedia ada tidak boleh dialih keluar; sebaik sahaja ahli baharu ditambah, ahli tersebut tidak boleh dialih keluar selepas mengklik butang ""Sahkan"" di bawah.","Os membros existentes não podem ser removidos; uma vez que um novo membro é adicionado, ele não poderá ser removido após clicar no botão ""Confirmar"" abaixo.",既存のメンバーは削除できません。新しいメンバーを追加すると、下の「確認」ボタンをクリックした後は削除できません。,"Los miembros existentes no se pueden eliminar; una vez que se agrega un nuevo miembro, este no se puede eliminar después de hacer clic en el botón ""Confirmar"" que aparece a continuación.","لا يمكن إزالة الأعضاء الحاليين؛ بمجرد إضافة عضو جديد، لا يمكن إزالة العضو بعد النقر فوق زر ""تأكيد"" أدناه.","বিদ্যমান সদস্যদের সরানো যাবে না; একবার নতুন সদস্য যুক্ত হলে, নিচের ""নিশ্চিত করুন"" বোতামে ক্লিক করার পর তাকে আর সরানো যাবে না।","मौजूदा सदस्यों को हटाया नहीं जा सकता; एक बार नया सदस्य जुड़ जाने के बाद, नीचे दिए गए ""पुष्टि करें"" बटन पर क्लिक करने के बाद उसे हटाया नहीं जा सकता।","Anggota yang sudah ada tidak dapat dihapus; setelah anggota baru ditambahkan, anggota tersebut tidak dapat dihapus setelah mengklik tombol ""Konfirmasi"" di bawah.","기존 회원은 삭제할 수 없습니다. 새 회원을 추가한 후에는 아래 ""확인"" 버튼을 클릭하여 삭제할 수 없습니다.","ရှိပြီးသားအဖွဲ့ဝင်များကို ဖယ်ရှား၍မရပါ။ အဖွဲ့ဝင်အသစ်တစ်ဦးကို ထည့်သွင်းပြီးသည်နှင့် အောက်ဖော်ပြပါ ""အတည်ပြုရန်"" ခလုတ်ကို နှိပ်ပြီးနောက် အဖွဲ့ဝင်ကို ဖယ်ရှား၍မရပါ။","ไม่สามารถลบสมาชิกที่มีอยู่แล้วได้ และเมื่อเพิ่มสมาชิกใหม่แล้ว จะไม่สามารถลบสมาชิกนั้นได้หลังจากคลิกปุ่ม ""ยืนยัน"" ด้านล่าง","Không thể xóa thành viên hiện có; sau khi thêm thành viên mới, không thể xóa thành viên đó sau khi nhấp vào nút ""Xác nhận"" bên dưới.","Hindi maaaring alisin ang mga kasalukuyang miyembro; kapag naidagdag na ang isang bagong miyembro, hindi na ito maaaring alisin pagkatapos i-click ang buton na ""Kumpirmahin"" sa ibaba.","Les membres existants ne peuvent pas être supprimés ; une fois qu’un nouveau membre est ajouté, il ne peut plus être supprimé après avoir cliqué sur le bouton « Confirmer » ci-dessous.","Wanachama waliopo hawawezi kuondolewa; mara tu mwanachama mpya anapoongezwa, mwanachama huyo hawezi kuondolewa baada ya kubofya kitufe cha ""Thibitisha"" kilicho hapa chini."
edit_form.commission_name,Rebate Name,返水名稱,返水名称,Nama Rebat,Nome da Comissão,リベート名,Nombre de la comisión,اسم الاسترداد,রিবেটের নাম,कमीशन नाम,Nama Komisi,리베이트 이름,ပြန်အမ်းငွေအမည်,ชื่อการคืนเงิน,Tên hoàn tiền,Pangalan ng Rebate,Nom du remboursement,Jina la Punguzo
edit_form.commission_payout_cap,Commission Payout Cap,佣金派發上限,佣金派发上限,KomisenAgihanHad,Limite de Pagamento de Comissão,手数料配布上限,Límite de Pago de Comisión,الحد الأقصى لصرف العمولة,কমিশন প্রদানের সর্বোচ্চ সীমা,कमीशन भुगतान सीमा,Batas Pembayaran Komisi,커미션 지급 상한,ကော်မရှင် ပေးချေမှု အမြင့်ဆုံး အကန့်အသတ်,ขีดจำกัดการจ่ายค่าคอมมิชชั่น,Giới hạn chi hoa hồng,Kumisyon ng Payout Cap,Plafond de versement des commissions,Kikomo cha Malipo ya Kamisheni
edit_form.commission_rate,Commission Rate,佣金比例,佣金比例,Purata Komisen,Taxa de Comissão,手数料率,Tasa de Comisión,نسبة العمولة,কমিশনের হার,कमीशन दर,Tarif Komisi,커미션 비율,ကော်မရှင်နှုန်း,อัตราค่าคอมมิชชั่น,Tỷ lệ hoa hồng,Rate ng Kumisyon,Taux de commission,Kiwango cha Kamisheni
edit_form.commission_ratio_setting,Set Rebate Percentage,返水比例設定,返水比例设置,Menetap Purata Rebat,Configuração da porcentagem da comissão,リベート割合の設定,Configuración del ratio de comisión,تحديد نسبة الاسترداد,রিবেট শতাংশ সেট করুন,कमीशन अनुपात सेटिंग,Pengaturan rasio komisi,리베이트 비율 설정,ပြန်အမ်းငွေ ရာခိုင်နှုန်း သတ်မှတ်ပါ။,การตั้งค่าสัดส่วนการคืนเงิน,Cài đặt tỷ lệ hoàn tiền,I-Set ang Rebate Percentage,Définir le pourcentage de remise,Weka Asilimia ya Marejesho
edit_form.commission_rebate_ratio_edit_tip,"When adjusting the ratio of the superior agent, the system will check the settings of all subordinate agents: if the ratio of the subordinate agents is higher than the current setting, it will be automatically adjusted down to the same value; those lower than or equal to the current setting will not be affected.",調整上級代理比例時，系統將檢查所有下級代理設定：若下級比例高於本次設定值，將自動下修至相同數值；低於或等於者則不受影響。,调整上级代理比例时，系统将检查所有下级代理设定：若下级比例高于本次设定值，将自动下修至相同数值；低于或等于者则不受影响。,"Apabila melaraskan nisbah ejen unggul, sistem akan menyemak tetapan semua ejen bawahan: jika nisbah ejen bawahan lebih tinggi daripada tetapan semasa, ia akan dilaraskan secara automatik kepada nilai yang sama; yang lebih rendah daripada atau sama dengan tetapan semasa tidak akan terjejas.","Ao ajustar a proporção do agente superior, o sistema verificará as configurações de todos os agentes subordinados: se a proporção dos agentes subordinados for maior que a configuração atual, ela será automaticamente ajustada para o mesmo valor; aquelas com proporção igual ou inferior à configuração atual não serão afetadas.",上位エージェントの比率を調整する際、システムはすべての下位エージェントの設定を確認します。下位エージェントの比率が現在の設定値よりも高い場合は、自動的に同じ値に調整されます。現在の設定値以下の場合は影響を受けません。,"Al ajustar la proporción del agente superior, el sistema comprobará la configuración de todos los agentes subordinados: si la proporción de los agentes subordinados es superior a la configuración actual, se ajustará automáticamente al mismo valor; las que sean inferiores o iguales a la configuración actual no se verán afectadas.",عند ضبط نسبة الوكيل الأعلى، سيتحقق النظام من إعدادات جميع الوكلاء التابعين: إذا كانت نسبة الوكلاء التابعين أعلى من الإعداد الحالي، فسيتم تعديلها تلقائيًا إلى نفس القيمة؛ أما أولئك الذين تقل نسبتهم عن الإعداد الحالي أو تساويه فلن يتأثروا.,"ঊর্ধ্বতন এজেন্টের অনুপাত সমন্বয় করার সময়, সিস্টেমটি সকল অধস্তন এজেন্টের সেটিংস যাচাই করবে: যদি অধস্তন এজেন্টদের অনুপাত বর্তমান সেটিংয়ের চেয়ে বেশি হয়, তবে তা স্বয়ংক্রিয়ভাবে কমিয়ে একই মানে সমন্বয় করা হবে; যেগুলোর অনুপাত বর্তমান সেটিংয়ের সমান বা তার চেয়ে কম, সেগুলোর উপর কোনো প্রভাব পড়বে না।","उच्च अधिकारी के अनुपात को समायोजित करते समय, सिस्टम सभी अधीनस्थ अधिकारियों की सेटिंग्स की जाँच करेगा: यदि अधीनस्थ अधिकारियों का अनुपात वर्तमान सेटिंग से अधिक है, तो इसे स्वचालित रूप से उसी मान तक कम कर दिया जाएगा; वर्तमान सेटिंग से कम या उसके बराबर अनुपात वाले अधिकारियों पर कोई प्रभाव नहीं पड़ेगा।","Saat menyesuaikan rasio agen atasan, sistem akan memeriksa pengaturan semua agen bawahan: jika rasio agen bawahan lebih tinggi dari pengaturan saat ini, rasio tersebut akan secara otomatis disesuaikan ke nilai yang sama; sedangkan rasio yang lebih rendah atau sama dengan pengaturan saat ini tidak akan terpengaruh.","상위 약제의 비율을 조정할 때 시스템은 모든 하위 약제의 설정을 확인합니다. 하위 약제의 비율이 현재 설정보다 높으면 자동으로 동일한 값으로 조정되고, 현재 설정보다 낮거나 같으면 영향을 받지 않습니다.",အထက်တန်းစားအေးဂျင့်၏ အချိုးကို ချိန်ညှိသည့်အခါ စနစ်သည် လက်အောက်ခံအေးဂျင့်အားလုံး၏ ဆက်တင်များကို စစ်ဆေးပါမည်- လက်အောက်ခံအေးဂျင့်များ၏ အချိုးသည် လက်ရှိဆက်တင်ထက် မြင့်မားပါက၊ ၎င်းကို အလိုအလျောက် တူညီသောတန်ဖိုးသို့ ချိန်ညှိပေးပါမည်။ လက်ရှိဆက်တင်ထက် နိမ့်သော သို့မဟုတ် ညီမျှသော အေးဂျင့်များကိုမူ သက်ရောက်မှုရှိမည်မဟုတ်ပါ။,เมื่อปรับอัตราส่วนของตัวแทนหลัก ระบบจะตรวจสอบการตั้งค่าของตัวแทนรองทั้งหมด หากอัตราส่วนของตัวแทนรองสูงกว่าการตั้งค่าปัจจุบัน ระบบจะปรับลดลงโดยอัตโนมัติให้เท่ากับค่าปัจจุบัน ส่วนอัตราส่วนที่ต่ำกว่าหรือเท่ากับการตั้งค่าปัจจุบันจะไม่ได้รับผลกระทบ,"Khi điều chỉnh tỷ lệ của tác nhân cấp trên, hệ thống sẽ kiểm tra cài đặt của tất cả các tác nhân cấp dưới: nếu tỷ lệ của các tác nhân cấp dưới cao hơn cài đặt hiện tại, nó sẽ tự động được điều chỉnh xuống cùng giá trị; những tỷ lệ thấp hơn hoặc bằng cài đặt hiện tại sẽ không bị ảnh hưởng.","Kapag inaayos ang ratio ng superior agent, susuriin ng system ang mga setting ng lahat ng subordinate agent: kung ang ratio ng mga subordinate agent ay mas mataas kaysa sa kasalukuyang setting, awtomatiko itong ia-adjust pababa sa parehong halaga; ang mga mas mababa o katumbas ng kasalukuyang setting ay hindi maaapektuhan.","Lors du réglage du ratio de l'agent supérieur, le système vérifie les paramètres de tous les agents subordonnés : si le ratio des agents subordonnés est supérieur au paramètre actuel, il est automatiquement ajusté à la baisse pour atteindre cette même valeur ; les ratios inférieurs ou égaux au paramètre actuel ne sont pas affectés.","Wakati wa kurekebisha uwiano wa wakala mkuu, mfumo utaangalia mipangilio ya mawakala wote wasaidizi: ikiwa uwiano wa mawakala wasaidizi ni mkubwa kuliko mpangilio wa sasa, utarekebishwa kiotomatiki hadi thamani sawa; wale walio chini au sawa na mpangilio wa sasa hawataathiriwa."
edit_form.confirm_publishing,Confirm Publishing,確認發佈,确认发布,Konfirm untuk pemaparan,Confirmar publicação,投稿を確認,Confirmar publicación,تأكيد النشر,প্রকাশ নিশ্চিত করুন,प्रकाशन की पुष्टि करें,Konfirmasi Publikasi,게시 확정,ပေးပို့မှု အတည်ပြုပါ,ยืนยันการโพสต์,Xác nhận đăng bài,Kumpirmahin ang Publishing,Confirmer la publication,Thibitisha Uchapishaji
edit_form.copy_command,Copy Command,文案指令,文案指令,Arahan Kandungan,Comando de Cópia,コピーコマンド,Comando de Copia,نسخ الأمر,কপি কমান্ড,आदेश की प्रतिलिपि,Perintah Salinan,문구 복사,အမိန့်စာ မိတ္တူကူးပါ,คำสั่งข้อความ,Lệnh nội dung,Copy Command,Copier la commande,Amri ya Nakili
