Key,en,zh-TW,zh-CN,ms,pt,ja,es,ar,bn,hi,id,ko,my,th,vi,tl,fr,sw
common.更多,more,更多,更多的,lebih banyak,mais,もっと,más,المزيد,আরও,अधिक,lagi,더 보기,နောက်ထပ်,เพิ่มเติม,Nhiều hơn,higit pa,plus,zaidi
common.alarm.accountFormatError,Account format error,帳號格式錯誤,帐号格式错误,Ralat format akaun,Erro no formato da conta,アカウントの形式が正しくありません,Error de formato de cuenta,تنسيق الحساب غير صحيح,অ্যাকাউন্ট ফরম্যাট ত্রুটি,खाता प्रारूप त्रुटि,Kesalahan format akun,아이디 형식이 잘못되었습니다,အကောင့်ဖော်မတ်အမှား,รูปแบบบัญชีไม่ถูกต้อง,Định dạng tài khoản không đúng,Error sa format ng account,Erreur de format de compte,Hitilafu ya umbizo la akaunti
common.alarm.accountLengthMaxError,Account length is too long,帳號格式錯誤,帐号长度过长,Panjang akaun terlalu panjang,A conta tem um período de duração muito longo.,アカウントの長さが長すぎます,La duración de la cuenta es demasiado larga.,طول الحساب طويل جدًا,অ্যাকাউন্টের মেয়াদ অনেক দীর্ঘ,खाता लंबाई अधिकतम त्रुटि,Panjang akun terlalu panjang,아이디 길이가 너무 깁니다,အကောင့်အရှည်က အရမ်းရှည်တယ်။,ความยาวของบัญชียาวเกินไป,Chiều dài tài khoản quá dài,Masyadong mahaba ang haba ng account,La durée du compte est trop longue.,Urefu wa akaunti ni mrefu sana
common.alarm.accountLengthMinError,Account length is too short,帳號長度過短,帐号长度过短,Panjang akaun terlalu pendek,A duração da conta é muito curta.,アカウントの長さが短すぎます,La duración de la cuenta es demasiado corta,طول الحساب قصير جدًا,অ্যাকাউন্টের মেয়াদ খুব কম,खाता लंबाई न्यूनतम त्रुटि,Masa berlaku akun terlalu singkat.,아이디 길이가 너무 짧습니다,အကောင့်အရှည်သည် တိုလွန်းသည်။,ความยาวบัญชีสั้นเกินไป,Chiều dài tài khoản quá ngắn,Masyadong maikli ang haba ng account,La durée du compte est trop courte.,Urefu wa akaunti ni mfupi sana
common.alarm.accountPasswordNotMatch,username or password is wrong,帳密有誤，請再確認,帐密有误，请再确认,nama pengguna atau kata laluan salah,O nome de usuário ou a senha estão incorretos.,アカウントとパスワードが間違っています。もう一度確認してください,El nombre de usuario o la contraseña son incorrectos.,الحساب وكلمة المرور غير صحيحين، يرجى التأكيد مرة أخرى,ইউজারনেম বা পাসওয়ার্ড ভুল,खाता पासवर्ड मेल नहीं खाता,Nama pengguna atau kata sandi salah.,아이디 또는 비밀번호가 잘못되었습니다,အသုံးပြုသူအမည် သို့မဟုတ် စကားဝှက် မှားနေပါသည်။,บัญชีและรหัสผ่านไม่ถูกต้อง กรุณายืนยันอีกครั้ง,"Tài khoản và mật khẩu không đúng, vui lòng xác nhận lại",mali ang username o password,Nom d'utilisateur ou mot de passe incorrect,jina la mtumiaji au nenosiri si sahihi
common.alarm.amount_to_claim_exceeds_balance,Amount to claim exceeds balance,領取金額大於餘額,领取金额大于余额,Amaun untuk dituntut melebihi baki,O valor a reivindicar excede o saldo.,受け取る金額が残高を超えています,El importe a reclamar excede el saldo,المبلغ المطلوب المطالبة به يتجاوز الرصيد,দাবিকৃত অর্থের পরিমাণ ব্যালেন্সকে ছাড়িয়ে গেছে,दावा करने के लिए राशि शेष राशि से अधिक है,Jumlah klaim melebihi saldo.,수령 금액이 잔액을 초과합니다,တောင်းဆိုရန် ပမာဏသည် လက်ကျန်ထက် ကျော်လွန်နေပါသည်။,จำนวนที่รับมากกว่ายอดคงเหลือ,Số tiền nhận vượt quá số dư,Lumagpas sa balanse ang halagang ihahabol,Le montant à réclamer dépasse le solde,Kiasi cha madai kinazidi salio
common.alarm.cashInSuccessful,Cash In Successful,儲值成功,充值成功,Tunai Masuk Berjaya,Dinheiro em sucesso,チャージ成功,Cobrar con éxito,تم إيداع النقود بنجاح,সফলভাবে নগদ অর্থ লাভ,नकद जमा सफल,Raih Keuntungan dengan Sukses,충전 성공,သွင်းငွေစာရင်းထည့်သွင်းမှုအောင်မြင်သည်။,เติมเงินสำเร็จ,Nạp tiền thành công,Matagumpay na Pag-cash In,Encaissement réussi,Pesa Imefanikiwa
common.alarm.changeSuccess,Change Successful,修改成功,修改成功,Perubahan Berjaya,Mudança bem-sucedida,変更完了,Cambio exitoso,تم التغيير بنجاح,পরিবর্তন সফল,परिवर्तन सफल,Perubahan Berhasil,변경 성공,ပြောင်းလဲခြင်း အောင်မြင်သည်။,เปลี่ยนแปลงสำเร็จ,Sửa thành công,Matagumpay ang Pagbabago,Changement réussi,Mabadiliko Yamefanikiwa
common.alarm.checkAudit,Please confirm whether the remaining turnover is 0,請確認稽核是否為 0,请确认稽核是否为 0,Sila sahkan sama ada baki perolehan adalah 0,"Por favor, confirme se o saldo devedor restante é 0.",稽核が 0 であることを確認してください。,"Por favor, confirme si la facturación restante es 0.",يرجى التأكد مما إذا كان الرصيد المتبقي يساوي 0,অনুগ্রহ করে নিশ্চিত করুন যে অবশিষ্ট টার্নওভার ০ কিনা।,ऑडिट चेक करें,Mohon konfirmasi apakah omset yang tersisa adalah 0.,잔여 롤오버가 0인지 확인해 주세요,ကျန်ငွေလည်ပတ်မှုသည် 0 ဟုတ်မဟုတ် အတည်ပြုပါ။,โปรดยืนยันว่าการตรวจสอบเป็น 0 หรือไม่,Vui lòng xác nhận xem doanh thu còn lại là 0,Pakikumpirma kung ang natitirang turnover ay 0,Veuillez confirmer si le chiffre d'affaires restant est de 0,Tafadhali thibitisha kama mauzo yaliyobaki ni 0
common.alarm.clickHereToAdd,Click here to add,點擊此處新增,点击此处添加,Klik di sini untuk menambah,Clique aqui para adicionar,クリックして追加,Haz clic aquí para añadir,انقر هنا للإضافة,যোগ করতে এখানে ক্লিক করুন,जोड़ने के लिए यहाँ क्लिक करें,Klik di sini untuk menambahkan,여기를 클릭하여 추가,ထည့်ရန် ဤနေရာကိုနှိပ်ပါ။,คลิกที่นี่เพื่อเพิ่ม,Click vào đây để thêm,Mag-click dito para magdagdag,Cliquez ici pour ajouter,Bofya hapa ili kuongeza
common.alarm.copyFail,Copy Failed,複製失敗,复制失败,Salinan Gagal,Falha na cópia,コピーエラー,Error al copiar,فشل النسخ,অনুলিপি ব্যর্থ হয়েছে,कॉपी विफल,Salinan Gagal,복사 실패,ကော်ပီ မအောင်မြင်ပါ။,การคัดลอกล้มเหลว,Copy thất bại,Nabigo ang Kopya,Échec de la copie,Nakala Imeshindwa
common.alarm.copyFailed,Copy failed,複製失敗,复制失败,Salinan gagal,Falha na cópia,コピーに失敗しました,Error al copiar,فشلت عملية النسخ,কপি ব্যর্থ হয়েছে,कॉपी विफल,Penyalinan gagal,복사 실패,မိတ္တူကူးခြင်း မအောင်မြင်ပါ,การคัดลอกล้มเหลว,Sao chép thất bại,Nabigo ang pagkopya,Échec de la copie,Imeshindwa kunakili
common.alarm.copySuccess,Copied,複製成功,复制成功,Disalin,Copiado,コピー完了,Copiado,تم النسخ بنجاح,অনুলিপি করা হয়েছে,कॉपी सफल,Disalin,복사 성공,ကော်ပီ အောင်မြင်ပါပြီ။,คัดลอกสำเร็จ,Copy thành công,Kinopya,Copié,Imenakiliwa
common.alarm.createSuccess,Creation Successful,創建成功,创建成功,Penciptaan Berjaya,Criação bem-sucedida,作成完了,Creación exitosa,تم الإنشاء بنجاح,সৃষ্টি সফল,निर्माण सफल,Pembuatan Berhasil,생성 성공,ဖန်တီးမှု အောင်မြင်တယ်။,สร้างสำเร็จ,Thiết lập thành công,Matagumpay ang Paglikha,Création réussie,Uumbaji Umefanikiwa
common.alarm.currencyNotSupport,The game does not support the current currency,遊戲不支援當前幣別,游戏不支援当前币别,Permainan ini tidak menyokong mata wang semasa,O jogo não é compatível com a moeda atual.,ゲームがこの通貨を対応できません,El juego no admite la moneda actual.,اللعبة لا تدعم العملة الحالية,গেমটি বর্তমান মুদ্রা সমর্থন করে না।,मुद्रा समर्थित नहीं है,Gim ini tidak mendukung mata uang saat ini.,현재 통화는 이 게임에서 지원되지 않습니다.,ဂိမ်းသည် လက်ရှိငွေကြေးကို မပံ့ပိုးပါ။,เกมไม่รองรับสกุลเงินปัจจุบัน,Trò chơi không chấp nhận đơn vị tiền tệ này,Hindi sinusuportahan ng laro ang kasalukuyang pera,Le jeu ne prend pas en charge la devise actuelle.,Mchezo hauungi mkono sarafu ya sasa
common.alarm.date_range_exceeds_31_days,Date range exceeds 31 days,日期區間超過 31 天,日期区间超过 31 天,Julat tarikh melebihi 31 hari,O intervalo de datas ultrapassa 31 dias.,日付範囲が31日を超えています,El rango de fechas supera los 31 días.,يتجاوز نطاق التاريخ 31 يومًا,তারিখের পরিসর ৩১ দিনের বেশি,तिथि श्रेणी 31 दिनों से अधिक है,Rentang tanggal melebihi 31 hari,날짜 범위가 31일을 초과합니다,ရက်စွဲအပိုင်းအခြားသည် 31 ရက်ထက်ကျော်လွန်သည်။,ช่วงวันที่เกิน 31 วัน,Khoảng ngày vượt quá 31 ngày,Lumagpas sa 31 araw ang saklaw ng petsa,La période dépasse 31 jours,Kipindi cha tarehe kinazidi siku 31
common.alarm.deleteSuccess,Deletion Successful,刪除成功,删除成功,Pemadaman Berjaya,Exclusão realizada com sucesso,削除完了,Eliminación exitosa,تم الحذف بنجاح,মুছে ফেলা সফল হয়েছে,हटाना सफल,Penghapusan Berhasil,삭제 성공,ဖျက်ခြင်း အောင်မြင်သည်။,ลบสำเร็จ,Xóa thành công,Matagumpay ang Pagtanggal,Suppression réussie,Imefanikiwa Kufuta
common.alarm.depositSuccess,Deposit Successful,存款成功,存款成功,Deposit Berjaya,Depósito realizado com sucesso,入金に成功しました,Depósito realizado con éxito,تم الإيداع بنجاح,জমা সফল হয়েছে,जमा सफल,Deposit Berhasil,입금 성공,ငွေသွင်းခြင်း အောင်မြင်သည်။,ฝากเงินสำเร็จ,Nạp tiền thành công,Matagumpay ang Pagdeposito,Dépôt réussi,Amana Imefanikiwa
common.alarm.editSuccess,Edit Successful,編輯成功,编辑成功,Edit Berjaya,Edição bem-sucedida,編集完了,Edición exitosa,تم التعديل بنجاح,সম্পাদনা সফল,संपादन सफल,Pengeditan Berhasil,수정 성공,တည်းဖြတ်ခြင်း အောင်မြင်သည်။,แก้ไขสำเร็จ,Sửa thành công,Matagumpay na Pag-edit,Modification réussie,Uhariri Umefanikiwa
common.alarm.end_date_is_earlier_than_start_date,End date is earlier than start date,結束日期早於開始日期,结束日期早于开始日期,Tarikh tamat lebih awal daripada tarikh mula,A data de término é anterior à data de início.,終了日が開始日より前です,La fecha de finalización es anterior a la fecha de inicio.,تاريخ الانتهاء يسبق تاريخ البدء,শেষের তারিখ শুরুর তারিখের আগে,समाप्ति तिथि प्रारंभ तिथि से पहले है,Tanggal akhir lebih awal dari tanggal mulai,종료 날짜가 시작 날짜보다 빠릅니다,ပြီးဆုံးသည့်ရက်စွဲသည် စတင်ရက်စွဲထက်စောသည်။,วันที่สิ้นสุดก่อนวันที่เริ่มต้น,Ngày kết thúc trước ngày bắt đầu,Mas maaga ang petsa ng pagtatapos kaysa sa petsa ng pagsisimula,La date de fin est antérieure à la date de début.,Tarehe ya mwisho ni mapema kuliko tarehe ya kuanza
common.alarm.gameIsUnderMaintenance,The game is under maintenance. Please try again later.,遊戲維護中，請稍後再嘗試,游戏维护中，请稍后再尝试,Permainan ini sedang diselenggara. Sila cuba lagi nanti.,O jogo está em manutenção. Tente novamente mais tarde.,ゲームはメンテナンス中です。後でもう一度お試しください。,El juego está en mantenimiento. Inténtalo de nuevo más tarde.,اللعبة تحت الصيانة. يرجى المحاولة لاحقًا.,গেমটি রক্ষণাবেক্ষণের অধীনে রয়েছে। অনুগ্রহ করে পরে আবার চেষ্টা করুন।,खेल रखरखाव में है,Gim sedang dalam pemeliharaan. Silakan coba lagi nanti.,게임이 점검 중입니다. 나중에 다시 시도해 주세요.,ဂိမ်းသည် ပြုပြင်ထိန်းသိမ်းမှုအောက်တွင် ရှိနေသည်။ နောက်မှ ထပ်စမ်းကြည့်ပါ။,เกมกำลังอยู่ในระหว่างการบำรุงรักษา กรุณาลองใหม่อีกครั้งในภายหลัง,"Trò chơi đang bảo trì, vui lòng thử lại trong giây lát",Ang laro ay nasa ilalim ng pagpapanatili. Pakisubukang muli mamaya.,Le jeu est en maintenance. Veuillez réessayer plus tard.,Mchezo unafanyiwa matengenezo. Tafadhali jaribu tena baadaye.
common.alarm.hasEmptyData,Data is empty,有數據尚未填寫,有空数据,Data kosong,Os dados estão vazios,データーが不足しています,Los datos están vacíos,البيانات فارغة,ডেটা খালি,डेटा खाली है,Data kosong,비어 있는 데이터가 있습니다,ဒေတာဗလာ,มีข้อมูลว่าง,Dữ liệu còn trống,Walang laman ang datos,Les données sont vides.,Data ni tupu
common.alarm.insufficientBalance,"Insufficient balance, please top up first",餘額不足，請先進行儲值,餘額不足，請先進行儲值,"Baki tidak mencukupi, sila tambah nilai terlebih dahulu","Saldo insuficiente, por favor, recarregue primeiro.",残高不足です。先にチャージしてください,"Saldo insuficiente, por favor, recargue primero.",الرصيد غير كافٍ، يرجى إعادة الشحن أولاً,"ব্যালেন্স অপর্যাপ্ত, অনুগ্রহ করে প্রথমে টপ আপ করুন।","पर्याप्त बैलेंस नहीं है, कृपया पहले रिचार्ज करें","Saldo tidak mencukupi, silakan isi ulang terlebih dahulu.",잔액이 부족합니다. 먼저 충전을 진행해 주세요,လက်ကျန်မလုံလောက်ပါ၊ ဦးစွာငွေဖြည့်ပါ။,ยอดเงินคงเหลือไม่พอ กรุณาเติมเงินก่อน,"Số dư không đủ, vui lòng nạp tiền trước","Hindi sapat ang balanse, mag-top up muna","Solde insuffisant, veuillez recharger d'abord","Salio halitoshi, tafadhali jaza kwanza"
common.alarm.insufficientCreditAddError,Insufficient available quota. Unable to complete the top-up operation.,代理可用額度不足，無法完成加款操作。,代理可用额度不足，无法完成加款操作。,Kuota yang tersedia tidak mencukupi. Tidak dapat menyelesaikan operasi tambah nilai.,Cota disponível insuficiente. Não foi possível concluir a recarga.,利用可能なクオータが不足しています。チャージ操作を完了できません。,Cuota disponible insuficiente. No se pudo completar la recarga.,الحصة المتاحة غير كافية. لا يمكن إتمام عملية الشحن.,উপলব্ধ কোটা অপর্যাপ্ত। টপ-আপ কার্যক্রমটি সম্পন্ন করা সম্ভব নয়।,अपर्याप्त क्रेडिट जोड़ने की त्रुटि,Kuota yang tersedia tidak mencukupi. Operasi pengisian ulang tidak dapat diselesaikan.,보유 한도가 부족합니다. 충전 작업을 완료할 수 없습니다.,ရနိုင်သော ခွဲတမ်း မလုံလောက်ပါ။ ငွေဖြည့်ခြင်းလုပ်ငန်းကို အပြီးသတ်၍မရပါ။,โควตาที่มีอยู่ไม่เพียงพอ ไม่สามารถทำรายการเติมเงินได้,Hạn mức khả dụng không đủ. Không thể hoàn tất thao tác nạp tiền.,Hindi sapat ang magagamit na quota. Hindi makumpleto ang operasyon ng top-up.,Quota disponible insuffisant. Impossible de terminer l'opération de recharge.,Mgawo hautoshi. Haiwezi kukamilisha shughuli ya kuongeza.
common.alarm.insufficientCreditMinusError,Insufficient balance in the subordinate account. Deduction failed.,下級帳號餘額不足，無法完成扣款操作。,下级帐号余额不足，无法完成扣款操作。,Baki dalam akaun subordinat tidak mencukupi. Potongan gagal.,Saldo insuficiente na conta subordinada. A dedução falhou.,サブアカウントの残高が不足しています。引き落としに失敗しました。,Saldo insuficiente en la cuenta subordinada. La deducción no se realizó correctamente.,الرصيد غير كافٍ في الحساب التابع. فشل الخصم.,অধীনস্থ অ্যাকাউন্টে অপর্যাপ্ত ব্যালেন্স। কর্তন ব্যর্থ হয়েছে।,अपर्याप्त क्रेडिट घटाने की त्रुटि,Saldo di rekening subordinat tidak mencukupi. Pemotongan gagal.,하위 계정 잔액이 부족합니다. 차감에 실패했습니다.,လက်အောက်ခံအကောင့်တွင် လက်ကျန်ငွေ မလုံလောက်ပါ။ နုတ်ယူမှု မအောင်မြင်ပါ။,ยอดเงินในบัญชีย่อยไม่เพียงพอ การหักเงินล้มเหลว,Số dư trong tài khoản phụ không đủ. Trừ tiền thất bại.,Hindi sapat ang balanse sa subordinate account. Nabigo ang pagbawas.,Solde insuffisant sur le compte subordonné. La déduction a échoué.,Salio la kutosha katika akaunti ndogo. Makato yameshindwa.
common.alarm.invalid_amount_format,Invalid amount format,金額格式錯誤,金额格式错误,Format jumlah tidak sah,Formato de valor inválido,金額形式エラー,Formato de importe no válido,تنسيق مبلغ غير صالح,অবৈধ পরিমাণ বিন্যাস,अमान्य राशि प्रारूप,Format jumlah tidak valid,금액 형식이 잘못되었습니다,မမှန်ကန်သော ပမာဏဖော်မတ်,รูปแบบจำนวนเงินไม่ถูกต้อง,Định dạng số tiền không hợp lệ,Hindi wastong format ng halaga,Format de montant invalide,Muundo batili wa kiasi
common.alarm.loginSuccess,Login Successful,登入成功,登录成功,Log Masuk Berjaya,Login realizado com sucesso,ログイン成功,Inicio de sesión exitoso,تم تسجيل الدخول بنجاح,লগইন সফল,लॉगिन सफल,Login berhasil.,로그인 성공,အကောင့်ဝင်ခြင်း အောင်မြင်ပါသည်။,เข้าสู่ระบบสำเร็จ,Đăng nhập thành công,Matagumpay ang Pag-login,Connexion réussie,Kuingia kwa Mafanikio
common.alarm.logoutSuccess,Logout successful,登出成功,登出成功,Log keluar berjaya,Logout realizado com sucesso,ログアウトに成功しました,Cierre de sesión correcto,تم تسجيل الخروج بنجاح,লগআউট সফল হয়েছে,लॉगआउट सफल,Logout berhasil,로그아웃 성공,ထွက်ခြင်း အောင်မြင်ပါသည်။,ออกจากระบบสำเร็จ,Đăng xuất thành công,Matagumpay ang pag-logout,Déconnexion réussie,Kuondoka kumefanikiwa
common.alarm.membershipAccountNotFound,Member account not found,查無此會員帳號,查无此会员帐号,Akaun ahli tidak ditemui,Conta de membro não encontrada,メンバーアカウントが見つかりません,No se encontró la cuenta de miembro.,لم يتم العثور على حساب العضو,সদস্য অ্যাকাউন্ট খুঁজে পাওয়া যায়নি,सदस्यता खाता नहीं मिला,Akun anggota tidak ditemukan,해당 회원 계정을 찾을 수 없습니다,အဖွဲ့ဝင်အကောင့်ကို ရှာမတွေ့ပါ။,ไม่พบบัญชีสมาชิก,Không tìm thấy tài khoản thành viên,Hindi natagpuan ang account ng miyembro,Compte membre introuvable,Akaunti ya mwanachama haipatikani
common.alarm.membershipAccountNotUnderDownline,This member is not under your downline,此會員不屬於您的下級名單,此会员不属于您的下级名单,Ahli ini bukan di bawah downline anda,Este membro não está na sua rede de distribuição.,このメンバーはあなたのダウンラインに属していません,Este miembro no está bajo tu red descendente.,هذا العضو ليس ضمن شبكتك التابعة,এই সদস্য আপনার ডাউনলাইনের অধীনে নেই।,सदस्यता खाता डाउनलाइन में नहीं है,Anggota ini bukan bagian dari downline Anda.,이 회원은 귀하의 하위 명단에 속하지 않습니다,ဤအဖွဲ့ဝင်သည် သင်၏ ဒေါင်းလိုင်းအောက်တွင် မရှိပါ။,สมาชิกคนนี้ไม่ได้อยู่ภายใต้สายงานของคุณ,Thành viên này không thuộc tuyến dưới của bạn,Ang miyembrong ito ay wala sa ilalim ng iyong downline,Ce membre ne fait pas partie de votre réseau.,Mwanachama huyu hayuko chini ya mstari wako wa chini
common.alarm.noPaymentMethodAvailable,There are currently no payment channels available. Please contact customer service.,尚無金流管道可以選擇，請洽客服,尚无金流管道可以选择，请洽客服,Tiada saluran pembayaran yang tersedia buat masa ini. Sila hubungi khidmat pelanggan.,"Atualmente, não há canais de pagamento disponíveis. Por favor, entre em contato com o serviço de atendimento ao cliente.",現在利用可能な決済チャネルはありません。カスタマーサービスにお問い合わせください。,Actualmente no hay métodos de pago disponibles. Póngase en contacto con el servicio de atención al cliente.,لا توجد قنوات دفع متاحة حاليًا. يرجى الاتصال بخدمة العملاء.,বর্তমানে অর্থপ্রদানের কোনো মাধ্যম উপলব্ধ নেই। অনুগ্রহ করে গ্রাহক সেবায় যোগাযোগ করুন।,वर्तमान में कोई भुगतान चैनल उपलब्ध नहीं है। कृपया ग्राहक सेवा से संपर्क करें।,Saat ini tidak ada saluran pembayaran yang tersedia. Silakan hubungi layanan pelanggan.,현재 사용할 수 있는 결제 채널이 없습니다. 고객 서비스에 문의하십시오.,ယခုအခါပေးချေမှုနည်းလမ်းများမရှိပါ။ ကျေးဇူးပြု၍ ဖောက်သည်ဝန်ဆောင်မှုနှင့် ဆက်သွယ်ပါ။,ขณะนี้ไม่มีช่องทางการชำระเงินให้เลือก กรุณาติดต่อบริการลูกค้า,Hiện tại không có kênh thanh toán nào khả dụng. Vui lòng liên hệ với dịch vụ khách hàng.,Sa kasalukuyan ay walang mga paraan ng pagbabayad na magagamit. Mangyaring makipag-ugnayan sa serbisyo sa customer.,Aucun moyen de paiement n'est actuellement disponible. Veuillez contacter le service client.,Kwa sasa hakuna njia za malipo zinazopatikana. Tafadhali wasiliana na huduma kwa wateja.
common.alarm.passwordFormatError,Password format error,密碼格式錯誤,密码格式错误,Ralat format kata laluan,Erro no formato da senha,パスワード形式エラー,Error de formato de contraseña,صيغة كلمة المرور غير صحيحة,পাসওয়ার্ড ফরম্যাট ত্রুটি,पासवर्ड प्रारूप त्रुटि,Kesalahan format kata sandi,비밀번호 형식이 잘못되었습니다,ပက်စဝက်စ်‌‌ဖော်မတ် အမှား,ข้อผิดพลาดรูปแบบรหัสผ่าน,Lỗi định dạng mật khẩu,Error sa format ng password,Erreur de format de mot de passe,Hitilafu ya umbizo la nenosiri
common.alarm.passwordLengthMaxError,Password length is too long,密碼長度過長,密码长度过长,Panjang kata laluan terlalu panjang,A senha é muito longa.,パスワードの長さが長すぎます,La contraseña es demasiado larga.,طول كلمة المرور طويل جدًا,পাসওয়ার্ডের দৈর্ঘ্য অনেক বেশি,पासवर्ड लंबाई अधिकतम त्रुटि,Panjang kata sandi terlalu panjang,비밀번호 길이가 너무 깁니다,ပက်စဝက်စ်‌‌အရှည်သည် ရှည်လွန်းသည်။,ความยาวของรหัสผ่านยาวเกินไป,Độ dài mật khẩu quá dài,Masyadong mahaba ang haba ng password,La longueur du mot de passe est trop longue.,Urefu wa nenosiri ni mrefu sana
common.alarm.passwordLengthMinError,Password length is too short,密碼長度過短,密码长度过短,Panjang kata laluan terlalu pendek,A senha é muito curta.,パスワードの長さが短すぎます,La longitud de la contraseña es demasiado corta.,طول كلمة المرور قصير جدًا,পাসওয়ার্ডের দৈর্ঘ্য খুব কম,पासवर्ड लंबाई न्यूनतम त्रुटि,Panjang kata sandi terlalu pendek,비밀번호 길이가 너무 짧습니다,ပက်စဝက်စ်‌‌အရှည်သည် တိုလွန်းသည်။,ความยาวรหัสผ่านสั้นเกินไป,Độ dài mật khẩu quá ngắn,Masyadong maikli ang haba ng password,La longueur du mot de passe est trop courte.,Urefu wa nenosiri ni mfupi sana
common.alarm.pleaseAddCard,You haven't added a card yet,您還沒有添加卡,您还没有添加卡,Anda belum menambah kad lagi,Você ainda não adicionou nenhum cartão.,まだカードが追加されていません,Aún no has añadido ninguna tarjeta.,لم تقم بإضافة بطاقة بعد,আপনি এখনও কোনো কার্ড যোগ করেননি।,कृपया कार्ड जोड़ें,Anda belum menambahkan kartu,아직 카드를 추가하지 않았습니다,သင်သည် ကတ်တစ်ခု မထည့်ရသေးပါ။,คุณยังไม่ได้เพิ่มบัตร,Bạn vẫn chưa thêm thẻ,Hindi ka pa nakapagdagdag ng card,Vous n'avez pas encore ajouté de carte,Bado hujaongeza kadi
common.alarm.pleaseLogin,Please log in first,請先登入,请先登入,Sila log masuk dahulu,"Por favor, faça login primeiro.",まずはログインが必要です,"Por favor, inicie sesión primero.",يرجى تسجيل الدخول أولاً,অনুগ্রহ করে প্রথমে লগ ইন করুন,कृपया लॉगिन करें,Silakan masuk terlebih dahulu,먼저 로그인해 주세요,ကျေးဇူးပြု၍ ဦးစွာဝင်ရောက်ပါ။,กรุณาเข้าสู่ระบบก่อน,Mời đăng nhập,Mag-log in muna,Veuillez vous connecter d'abord,Tafadhali ingia kwanza
common.alarm.pleaseSelectBankCard,Please select a bank card,請選擇銀行卡,请选择银行卡,Sila pilih kad bank,"Por favor, selecione um cartão bancário.",銀行カードをご選択ください,Seleccione una tarjeta bancaria,يرجى اختيار بطاقة البنك,অনুগ্রহ করে একটি ব্যাংক কার্ড নির্বাচন করুন।,कृपया बैंक कार्ड चुनें,Silakan pilih kartu bank.,은행 카드를 선택해 주세요,ဘဏ်ကတ်ကို ရွေးပါ။,โปรดเลือกบัตรธนาคาร,Hãy chọn thẻ ngân hàng,Pumili ng bank card,Veuillez sélectionner une carte bancaire,Tafadhali chagua kadi ya benki
common.alarm.pleaseSelectPaymentType,Please select a payment type first,請先選擇支付類型,请先选择支付类型,Sila pilih jenis pembayaran terlebih dahulu,"Por favor, selecione primeiro um tipo de pagamento.",まずはお支払方法を選択してください,"Por favor, seleccione primero un tipo de pago.",يرجى اختيار طريقة الدفع أولاً,অনুগ্রহ করে প্রথমে অর্থপ্রদানের ধরণ নির্বাচন করুন।,कृपया भुगतान प्रकार चुनें,Silakan pilih jenis pembayaran terlebih dahulu.,먼저 결제 유형을 선택해 주세요,ငွေပေးချေမှုအမျိုးအစားကို ဦးစွာရွေးချယ်ပါ။,กรุณาเลือกประเภทการชำระเงินก่อน,Hãy chọn cách thanh toán,Pumili muna ng uri ng pagbabayad,Veuillez d'abord sélectionner un type de paiement.,Tafadhali chagua aina ya malipo kwanza
common.alarm.pleaseTopUp,Please top up first,請先進行儲值,請先進行儲值,Sila tambah nilai dahulu,"Por favor, faça uma recarga primeiro.",先にチャージしてください,"Por favor, recarga primero.",يرجى إعادة الشحن أولاً,অনুগ্রহ করে প্রথমে টপ আপ করুন।,कृपया पहले रिचार्ज करें,Silakan isi ulang terlebih dahulu.,먼저 충전을 진행해 주세요,ကျေးဇူးပြုပြီး ငွေအရင်ဖြည့်ပေးပါ။,กรุณาเติมเงินก่อน,Vui lòng nạp tiền trước,Mag-top up muna,Veuillez recharger d'abord,Tafadhali jaza kwanza
common.alarm.pleaseUseCurrency,Please select a currency first,請先選擇幣別,请先选择币别,Sila pilih mata wang terlebih dahulu,"Por favor, selecione uma moeda primeiro.",まずは通貨の選択をしてください,"Por favor, seleccione primero una moneda.",يرجى اختيار العملة أولاً,অনুগ্রহ করে প্রথমে একটি মুদ্রা নির্বাচন করুন।,कृपया मुद्रा का उपयोग करें,Silakan pilih mata uang terlebih dahulu.,먼저 통화를 선택해 주세요,ငွေကြေးကို ဦးစွာရွေးချယ်ပါ။,โปรดเลือกสกุลเงินก่อน,Hãy chọn loại tiền tệ,Pumili muna ng pera,Veuillez d'abord sélectionner une devise,Tafadhali chagua sarafu kwanza
common.alarm.registerSuccess,Registration Successful,註冊成功,注册成功,Pendaftaran Berjaya,Cadastro realizado com sucesso,登録成功,Registro exitoso,تم التسجيل بنجاح,নিবন্ধন সফল হয়েছে,पंजीकरण सफल,Pendaftaran Berhasil,회원가입 성공,ဂိမ်းအကောင့်ဖွင့်ခြင်း အောင်မြင်ပါသည်။,ลงทะเบียนสำเร็จ,Đăng ký thành công,Matagumpay ang Pagpaparehistro,Inscription réussie,Usajili Umefanikiwa
